NAME,CLASS,ST,STFIPS,PLACEFIPS,POP2010,STPLFIPS
Austin,city,TX,48,5000,790390,4805000
New Orleans,city,LA,22,55000,343829,2255000
Miami,city,FL,12,45000,399457,1245000
Hartford,city,CT,9,37000,124775,937000
Providence,city,RI,44,59000,178042,4459000
Boston,city,MA,25,7000,617594,2507000
Jersey City,city,NJ,34,36000,247597,3436000
New York,city,NY,36,51000,8175133,3651000
Philadelphia,city,PA,42,60000,1526006,4260000
Washington,city,DC,11,50000,601723,1150000
Baltimore,city,MD,24,4000,620961,2404000
Richmond,city,VA,51,67000,204214,5167000
Charlotte,city,NC,37,12000,731424,3712000
Cleveland,city,OH,39,16000,396815,3916000
Detroit,city,MI,26,22000,713777,2622000
Atlanta,city,GA,13,4000,420003,1304000
Montgomery,city,AL,1,51000,205764,151000
Chicago,city,IL,17,14000,2695598,1714000
Memphis,city,TN,47,48000,646889,4748000
Little Rock,city,AR,5,41000,193524,541000
Des Moines,city,IA,19,21000,203433,1921000
Kansas City,city,KS,20,36000,145786,2036000
Tulsa,city,OK,40,75000,391906,4075000
Denver,city,CO,8,20000,600158,820000
Albuquerque,city,NM,35,2000,545852,3502000
Las Vegas,city,NV,32,40000,583756,3240000
San Diego,city,CA,6,66000,1307402,666000
Salt Lake City,city,UT,49,67000,186440,4967000
Phoenix,city,AZ,4,55000,1445632,455000
Boise City,city,ID,16,8830,205671,1608830
Los Angeles,city,CA,6,44000,3792621,644000
San Francisco,city,CA,6,67000,805235,667000
Seattle,city,WA,53,63000,608660,5363000
Portland,city,OR,41,59000,583776,4159000
Minneapolis,city,MN,27,43000,382578,2743000
Honolulu,city and county,HI,15,15003,953207,15003
